time,age_group,cell,location_x,location_y,InfectionStatus.Susceptible,InfectionStatus.Exposed,InfectionStatus.InfectASympt,InfectionStatus.InfectMild,InfectionStatus.InfectGP,InfectionStatus.InfectHosp,InfectionStatus.InfectICU,InfectionStatus.InfectICURecov,InfectionStatus.Recovered,InfectionStatus.Dead,InfectionStatus.Vaccinated
29.0,2,15,3,3,2,5,1,2,0,0,0,0,1,0,0
29.0,3,15,3,3,4,3,1,1,1,0,0,0,0,0,0
29.0,4,15,3,3,10,5,1,0,2,0,0,0,0,0,0
29.0,5,15,3,3,6,8,1,3,0,0,0,0,0,0,0
29.0,6,15,3,3,24,16,1,4,2,0,0,0,2,0,0
29.0,7,15,3,3,16,17,2,5,3,0,0,0,2,0,0
29.0,8,15,3,3,26,20,6,3,1,0,0,0,2,0,0
29.0,9,15,3,3,24,23,6,7,4,0,0,0,2,0,0
29.0,10,15,3,3,24,24,7,4,2,0,0,0,2,0,0
29.0,11,15,3,3,24,28,0,6,0,0,0,0,3,0,0
29.0,12,15,3,3,22,17,5,5,2,0,0,0,2,0,0
29.0,13,15,3,3,19,11,4,2,3,0,0,0,3,0,0
29.0,14,15,3,3,21,7,0,3,3,0,1,0,2,0,0
29.0,15,15,3,3,12,7,3,2,3,0,0,0,0,0,0
29.0,16,15,3,3,13,6,1,2,1,0,0,0,0,0,0
29.0,17,15,3,3,18,6,2,3,3,0,0,0,0,0,0
30.0,1,0,0,0,0,0,3,0,0,0,0,0,7,0,0
30.0,2,0,0,0,0,0,0,0,0,0,0,0,11,0,0
30.0,3,0,0,0,0,1,3,0,1,0,0,0,8,0,0
30.0,4,0,0,0,0,1,3,0,0,0,0,0,8,0,0
30.0,5,0,0,0,0,0,6,0,1,1,0,0,24,0,0
30.0,6,0,0,0,0,0,7,1,1,0,0,0,29,1,0
30.0,7,0,0,0,0,1,8,3,2,0,0,0,41,0,0
30.0,8,0,0,0,0,0,9,4,2,0,0,0,42,0,0
30.0,9,0,0,0,0,0,7,0,0,0,0,0,41,0,0
30.0,10,0,0,0,0,2,12,6,1,1,0,0,58,0,0
30.0,11,0,0,0,0,1,10,3,3,0,0,0,41,0,0
30.0,12,0,0,0,0,0,8,2,1,0,0,0,29,0,0
30.0,13,0,0,0,0,2,5,3,1,1,0,0,18,0,0
30.0,14,0,0,0,0,1,3,3,0,0,0,0,26,0,0
30.0,15,0,0,0,0,1,4,2,0,2,0,0,26,0,0
30.0,16,0,0,0,0,0,7,3,1,1,0,0,21,0,0
30.0,17,0,0,0,0,0,10,1,0,0,0,0,24,0,0
30.0,1,1,0,1,0,0,2,1,1,0,0,0,4,0,0
30.0,2,1,0,1,0,0,1,2,0,0,0,0,5,0,0
30.0,3,1,0,1,0,3,2,0,0,0,0,0,10,0,0
30.0,4,1,0,1,0,0,5,3,2,0,0,0,14,0,0
30.0,5,1,0,1,0,2,8,6,2,0,0,0,22,0,0
30.0,6,1,0,1,0,1,6,2,1,0,0,0,20,0,0
30.0,7,1,0,1,0,1,8,2,2,0,0,0,37,0,0
30.0,8,1,0,1,0,0,14,9,2,0,0,0,41,0,0
30.0,9,1,0,1,0,3,7,9,3,1,0,0,46,0,0
30.0,10,1,0,1,0,2,19,4,1,2,0,0,43,0,0
30.0,11,1,0,1,0,2,10,4,1,1,0,0,35,0,0
30.0,12,1,0,1,1,2,6,1,3,1,0,0,36,0,0
30.0,13,1,0,1,0,1,9,7,1,0,0,0,17,0,0
30.0,14,1,0,1,0,1,7,2,0,1,0,0,13,1,0
30.0,15,1,0,1,0,1,5,1,3,0,0,0,13,0,0
30.0,16,1,0,1,0,1,4,0,2,1,0,0,13,0,0
30.0,17,1,0,1,0,1,9,1,1,0,0,0,21,0,0
30.0,1,2,0,2,0,0,2,1,0,0,0,0,4,0,0
30.0,2,2,0,2,0,0,0,2,0,0,0,0,4,0,0
30.0,3,2,0,2,0,2,4,1,1,0,0,0,2,0,0
30.0,4,2,0,2,0,2,2,2,0,0,0,0,12,0,0
30.0,5,2,0,2,1,3,5,7,4,0,0,0,16,0,0
30.0,6,2,0,2,0,8,9,5,5,0,0,0,20,0,0
30.0,7,2,0,2,1,1,8,5,2,0,0,0,22,0,0
30.0,8,2,0,2,0,7,11,9,4,0,0,0,22,0,0
30.0,9,2,0,2,0,5,9,19,7,0,0,0,41,0,0
30.0,10,2,0,2,0,4,17,14,5,0,0,0,26,0,0
30.0,11,2,0,2,0,4,16,6,3,1,1,0,30,0,0
30.0,12,2,0,2,1,2,13,8,3,0,0,0,18,0,0
30.0,13,2,0,2,1,3,4,3,2,0,0,0,16,0,0
30.0,14,2,0,2,1,2,8,4,1,0,1,0,11,0,0
30.0,15,2,0,2,0,4,2,1,3,1,0,0,15,0,0
30.0,16,2,0,2,0,3,5,4,0,1,0,0,12,1,0
30.0,17,2,0,2,1,2,12,2,2,2,0,0,22,0,0
30.0,1,3,0,3,0,0,1,2,2,0,0,0,3,0,0
30.0,2,3,0,3,1,3,1,3,1,0,0,0,3,0,0
30.0,3,3,0,3,0,1,5,3,1,0,0,0,1,0,0
30.0,4,3,0,3,0,3,3,2,2,0,0,0,4,0,0
30.0,5,3,0,3,2,7,8,5,3,0,0,0,11,0,0
30.0,6,3,0,3,0,5,9,7,5,0,0,0,6,0,0
30.0,7,3,0,3,0,12,12,9,1,0,0,0,12,0,0
30.0,8,3,0,3,1,10,16,12,5,0,0,0,12,0,0
30.0,9,3,0,3,1,16,18,14,12,0,0,0,18,1,0
30.0,10,3,0,3,1,14,14,13,7,0,1,0,18,0,0
30.0,11,3,0,3,2,11,11,12,6,0,0,0,16,0,0
30.0,12,3,0,3,1,10,7,8,6,1,0,0,10,0,0
30.0,13,3,0,3,0,6,11,9,2,1,1,0,8,0,0
30.0,14,3,0,3,0,5,3,4,3,1,0,0,7,0,0
30.0,15,3,0,3,2,6,5,2,3,1,0,0,9,0,0
30.0,16,3,0,3,1,5,7,7,1,0,0,0,2,0,0
30.0,17,3,0,3,2,9,9,7,7,0,0,0,10,1,0
30.0,1,4,1,0,0,0,0,1,0,0,0,0,8,0,0
30.0,2,4,1,0,0,0,1,0,0,0,0,0,2,0,0
30.0,3,4,1,0,0,0,2,0,0,0,0,0,7,0,0
30.0,4,4,1,0,0,0,1,1,1,0,0,0,15,0,0
30.0,5,4,1,0,0,1,8,0,1,0,0,0,20,0,0
30.0,6,4,1,0,0,0,4,1,0,0,0,0,27,0,0
30.0,7,4,1,0,0,0,6,1,0,1,0,0,44,0,0
30.0,8,4,1,0,1,1,11,4,0,0,0,0,44,0,0
30.0,9,4,1,0,0,0,10,2,1,1,1,0,49,0,0
30.0,10,4,1,0,0,3,5,2,1,0,0,0,59,0,0
30.0,11,4,1,0,0,1,7,2,2,1,0,0,41,0,0
30.0,12,4,1,0,0,0,6,1,1,0,1,0,44,1,0
30.0,13,4,1,0,0,0,2,0,2,0,1,0,28,0,0
30.0,14,4,1,0,0,0,5,2,0,1,1,0,27,1,0
30.0,15,4,1,0,0,0,2,4,0,1,0,0,23,1,0
30.0,16,4,1,0,0,0,2,1,1,2,0,0,14,2,0
30.0,17,4,1,0,0,1,6,3,0,3,0,0,29,0,0
30.0,1,5,1,1,0,0,2,0,0,0,0,0,13,0,0
30.0,2,5,1,1,0,0,0,0,1,0,0,0,8,0,0
30.0,3,5,1,1,0,0,1,0,1,0,0,0,9,0,0
30.0,4,5,1,1,0,0,2,2,0,0,0,0,6,0,0
30.0,5,5,1,1,0,0,4,1,0,0,0,0,24,0,0
30.0,6,5,1,1,0,0,2,3,4,0,0,0,37,0,0
30.0,7,5,1,1,0,2,5,2,1,0,0,0,28,0,0
30.0,8,5,1,1,0,1,8,3,0,0,0,0,44,0,0
30.0,9,5,1,1,0,0,9,1,3,0,0,0,53,0,0
30.0,10,5,1,1,0,0,11,1,3,0,0,0,50,0,0
30.0,11,5,1,1,0,0,3,0,2,1,1,0,52,0,0
30.0,12,5,1,1,0,0,3,0,2,2,2,0,34,0,0
30.0,13,5,1,1,0,0,7,3,0,0,0,0,34,0,0
30.0,14,5,1,1,0,0,4,1,2,0,0,0,22,0,0
30.0,15,5,1,1,0,0,1,0,5,1,0,0,14,0,0
30.0,16,5,1,1,0,1,4,0,0,1,0,0,23,0,0
30.0,17,5,1,1,0,0,7,1,2,3,0,0,33,5,0
30.0,1,6,1,2,0,0,0,1,0,0,0,0,3,0,0
30.0,2,6,1,2,0,2,1,0,1,0,0,0,6,0,0
30.0,3,6,1,2,0,0,3,2,1,0,0,0,4,0,0
30.0,4,6,1,2,0,0,1,3,1,0,0,0,8,0,0
30.0,5,6,1,2,2,3,9,2,3,0,0,0,17,0,0
30.0,6,6,1,2,0,4,8,10,2,1,0,0,24,0,0
30.0,7,6,1,2,0,3,6,11,3,0,0,0,20,0,0
30.0,8,6,1,2,0,3,19,5,6,0,0,0,22,0,0
30.0,9,6,1,2,0,4,10,11,7,0,0,0,38,0,0
30.0,10,6,1,2,0,5,14,7,1,0,0,0,28,0,0
30.0,11,6,1,2,0,1,13,9,5,1,0,0,21,1,0
30.0,12,6,1,2,0,1,9,6,2,1,0,0,15,1,0
30.0,13,6,1,2,0,5,9,6,5,2,1,0,12,0,0
30.0,14,6,1,2,0,5,11,3,4,0,1,0,11,1,0
30.0,15,6,1,2,0,1,9,7,1,1,0,0,19,1,0
30.0,16,6,1,2,0,2,3,3,2,1,0,0,13,0,0
30.0,17,6,1,2,0,4,5,3,9,3,0,0,26,1,0
30.0,1,7,1,3,0,3,2,0,0,0,0,0,2,0,0
30.0,2,7,1,3,2,4,2,0,0,0,0,0,1,0,0
30.0,3,7,1,3,1,8,2,2,1,0,0,0,4,0,0
30.0,4,7,1,3,0,3,1,1,3,0,0,0,2,0,0
30.0,5,7,1,3,1,15,3,2,3,0,0,0,5,0,0
30.0,6,7,1,3,2,14,5,8,3,0,0,0,11,0,0
30.0,7,7,1,3,2,13,9,15,7,0,0,0,9,0,0
30.0,8,7,1,3,4,17,11,14,3,0,0,0,9,0,0
30.0,9,7,1,3,6,18,15,12,6,1,0,0,14,0,0
30.0,10,7,1,3,3,11,13,7,6,0,0,0,11,0,0
30.0,11,7,1,3,4,14,9,10,4,0,0,0,6,0,0
30.0,12,7,1,3,6,9,14,8,7,0,0,0,9,0,0
30.0,13,7,1,3,2,11,7,10,2,1,1,0,12,0,0
30.0,14,7,1,3,1,7,10,6,3,0,0,0,5,0,0
30.0,15,7,1,3,5,14,11,0,2,1,0,0,6,0,0
30.0,16,7,1,3,5,4,5,5,1,0,0,0,2,0,0
30.0,17,7,1,3,1,3,4,6,6,2,0,0,8,0,0
30.0,1,8,2,0,0,0,0,1,0,0,0,0,6,0,0
30.0,2,8,2,0,0,0,1,1,0,0,0,0,8,0,0
30.0,3,8,2,0,0,0,0,0,0,0,0,0,5,0,0
30.0,4,8,2,0,0,0,0,0,0,0,0,0,7,0,0
30.0,5,8,2,0,0,0,5,1,0,0,0,0,27,0,0
30.0,6,8,2,0,0,0,5,1,1,0,0,0,34,0,0
30.0,7,8,2,0,0,0,5,1,2,0,0,0,34,0,0
30.0,8,8,2,0,0,0,9,2,3,0,0,0,56,0,0
30.0,9,8,2,0,0,0,5,1,1,1,0,0,51,0,0
30.0,10,8,2,0,0,0,8,2,0,0,0,0,53,0,0
30.0,11,8,2,0,0,0,9,0,1,0,0,0,44,0,0
30.0,12,8,2,0,0,0,10,3,0,0,0,0,40,1,0
30.0,13,8,2,0,0,0,7,1,0,0,0,0,41,0,0
30.0,14,8,2,0,0,0,6,1,0,1,0,0,26,1,0
30.0,15,8,2,0,0,0,6,0,1,2,0,0,13,0,0
30.0,16,8,2,0,0,0,2,0,0,1,0,0,24,0,0
30.0,17,8,2,0,0,1,2,1,0,0,0,0,36,3,0
30.0,1,9,2,1,0,0,0,2,0,0,0,0,6,0,0
30.0,2,9,2,1,1,1,1,1,0,0,0,0,7,0,0
30.0,3,9,2,1,0,0,2,0,0,0,0,0,3,0,0
30.0,4,9,2,1,1,2,2,0,0,0,0,0,10,0,0
30.0,5,9,2,1,2,3,11,3,3,0,0,0,20,0,0
30.0,6,9,2,1,3,5,8,5,2,0,0,0,23,0,0
30.0,7,9,2,1,1,0,2,1,3,0,0,0,18,1,0
30.0,8,9,2,1,2,5,9,5,1,0,0,0,31,0,0
30.0,9,9,2,1,4,7,6,7,0,0,0,0,40,0,0
30.0,10,9,2,1,1,4,9,10,8,0,0,0,30,1,0
30.0,11,9,2,1,0,6,7,9,4,0,0,0,28,0,0
30.0,12,9,2,1,1,3,9,2,3,0,1,0,21,0,0
30.0,13,9,2,1,2,0,9,2,5,1,2,0,25,0,0
30.0,14,9,2,1,1,3,4,7,2,0,1,0,17,0,0
30.0,15,9,2,1,0,0,6,5,3,1,0,0,12,0,0
30.0,16,9,2,1,3,7,4,0,1,2,0,0,16,0,0
30.0,17,9,2,1,5,6,6,4,4,1,0,0,26,1,0
30.0,1,10,2,2,1,2,1,3,0,0,0,0,3,0,0
30.0,2,10,2,2,0,3,1,1,0,0,0,0,2,0,0
30.0,3,10,2,2,0,2,4,3,0,0,0,0,3,0,0
30.0,4,10,2,2,0,1,4,0,1,0,0,0,5,0,0
30.0,5,10,2,2,0,10,10,6,6,0,0,0,17,0,0
30.0,6,10,2,2,0,7,9,7,5,1,0,0,13,0,0
30.0,7,10,2,2,0,5,8,5,6,0,0,0,12,0,0
30.0,8,10,2,2,0,9,6,8,6,2,0,0,25,0,0
30.0,9,10,2,2,1,7,17,13,5,0,0,0,31,0,0
30.0,10,10,2,2,0,10,20,11,7,0,0,0,31,1,0
30.0,11,10,2,2,0,5,14,9,3,0,0,0,12,0,0
30.0,12,10,2,2,1,7,8,7,5,0,0,0,19,1,0
30.0,13,10,2,2,1,7,8,5,3,1,0,0,9,0,0
30.0,14,10,2,2,0,1,11,0,1,0,0,0,9,0,0
30.0,15,10,2,2,0,4,9,5,2,1,0,0,8,1,0
30.0,16,10,2,2,0,3,5,3,3,0,1,0,8,0,0
30.0,17,10,2,2,1,3,11,10,10,1,0,0,8,0,0
30.0,1,11,2,3,0,4,1,0,0,0,0,0,0,0,0
30.0,2,11,2,3,4,2,3,0,1,0,0,0,0,0,0
30.0,3,11,2,3,0,2,3,1,1,0,0,0,1,0,0
30.0,4,11,2,3,4,3,1,1,0,0,0,0,3,0,0
30.0,5,11,2,3,7,11,4,4,7,0,0,0,4,0,0
30.0,6,11,2,3,20,8,10,7,9,0,0,0,5,0,0
30.0,7,11,2,3,5,8,6,5,2,1,0,0,1,0,0
30.0,8,11,2,3,3,19,9,8,4,1,0,0,8,0,0
30.0,9,11,2,3,12,21,23,8,5,1,0,0,5,0,0
30.0,10,11,2,3,13,27,11,10,12,1,0,0,4,0,0
30.0,11,11,2,3,15,9,9,14,4,0,0,0,8,0,0
30.0,12,11,2,3,14,9,12,7,5,0,0,0,7,0,0
30.0,13,11,2,3,2,7,4,10,3,0,0,0,3,0,0
30.0,14,11,2,3,1,9,4,4,2,0,0,0,3,0,0
30.0,15,11,2,3,0,18,3,0,2,0,0,0,2,0,0
30.0,16,11,2,3,10,9,2,4,6,0,0,0,1,0,0
30.0,17,11,2,3,11,9,2,4,2,0,0,0,7,0,0
30.0,1,12,3,0,0,0,1,0,0,0,0,0,8,0,0
30.0,2,12,3,0,0,0,1,2,0,0,0,0,5,0,0
30.0,3,12,3,0,0,0,1,1,2,0,0,0,4,0,0
30.0,4,12,3,0,0,1,1,1,0,0,0,0,12,0,0
30.0,5,12,3,0,0,0,5,0,2,0,0,0,13,0,0
30.0,6,12,3,0,0,2,8,5,3,0,0,0,20,0,0
30.0,7,12,3,0,0,1,11,3,1,0,0,0,36,0,0
30.0,8,12,3,0,0,1,7,2,1,1,0,0,24,0,0
30.0,9,12,3,0,0,3,12,12,4,0,0,0,48,0,0
30.0,10,12,3,0,0,2,12,7,1,0,0,0,46,0,0
30.0,11,12,3,0,0,3,7,7,1,0,0,0,34,0,0
30.0,12,12,3,0,0,1,4,1,7,1,1,0,29,0,0
30.0,13,12,3,0,0,2,7,4,0,2,1,0,22,1,0
30.0,14,12,3,0,0,1,6,2,0,1,0,0,24,0,0
30.0,15,12,3,0,0,2,9,5,1,1,0,0,26,1,0
30.0,16,12,3,0,0,1,7,1,2,1,0,0,26,1,0
30.0,17,12,3,0,0,0,6,5,1,4,0,0,19,0,0
30.0,1,13,3,1,1,0,0,1,0,0,0,0,5,0,0
30.0,2,13,3,1,0,0,4,1,1,0,0,0,5,0,0
30.0,3,13,3,1,0,2,6,3,2,0,0,0,3,0,0
30.0,4,13,3,1,0,1,3,1,0,0,0,0,11,0,0
30.0,5,13,3,1,0,2,6,4,3,0,0,0,10,0,0
30.0,6,13,3,1,0,2,7,7,1,0,0,0,22,0,0
30.0,7,13,3,1,0,3,12,7,4,0,0,0,25,0,0
30.0,8,13,3,1,0,5,18,6,3,0,0,0,37,0,0
30.0,9,13,3,1,0,0,17,5,10,0,0,0,39,0,0
30.0,10,13,3,1,0,5,19,11,3,1,0,0,34,0,0
30.0,11,13,3,1,0,6,18,8,2,0,0,0,22,0,0
30.0,12,13,3,1,0,5,12,4,3,0,0,0,20,1,0
30.0,13,13,3,1,0,1,7,6,3,0,1,0,20,0,0
30.0,14,13,3,1,0,2,5,6,2,2,0,0,11,0,0
30.0,15,13,3,1,0,1,6,3,4,0,0,0,11,0,0
30.0,16,13,3,1,0,1,2,1,4,1,0,0,11,0,0
30.0,17,13,3,1,0,4,4,2,3,0,0,0,16,2,0
30.0,1,14,3,2,0,1,0,2,1,0,0,0,0,0,0
30.0,2,14,3,2,0,4,1,3,0,0,0,0,1,0,0
30.0,3,14,3,2,0,2,2,0,0,0,0,0,0,0,0
30.0,4,14,3,2,0,1,1,2,2,0,0,0,4,0,0
30.0,5,14,3,2,0,2,2,10,3,0,0,0,8,0,0
30.0,6,14,3,2,1,14,14,11,4,0,0,0,6,0,0
30.0,7,14,3,2,0,8,9,7,3,0,0,0,13,0,0
30.0,8,14,3,2,0,12,15,13,5,0,0,0,11,0,0
30.0,9,14,3,2,0,10,20,17,5,0,0,0,14,0,0
30.0,10,14,3,2,0,15,18,9,6,0,0,0,12,0,0
30.0,11,14,3,2,1,15,14,12,6,0,0,0,15,0,0
30.0,12,14,3,2,0,12,9,7,7,0,0,0,7,0,0
30.0,13,14,3,2,0,14,10,6,4,0,0,0,8,0,0
30.0,14,14,3,2,1,8,8,7,4,2,1,0,9,1,0
30.0,15,14,3,2,0,6,8,7,1,2,0,0,4,0,0
30.0,16,14,3,2,0,3,6,4,3,1,1,0,2,0,0
30.0,17,14,3,2,0,19,16,13,5,2,0,0,6,0,0
30.0,1,15,3,3,2,3,0,2,0,0,0,0,1,0,0
30.0,2,15,3,3,2,4,1,1,1,0,0,0,2,0,0
30.0,3,15,3,3,3,3,1,2,1,0,0,0,0,0,0
30.0,4,15,3,3,9,5,1,0,3,0,0,0,0,0,0
30.0,5,15,3,3,5,7,1,5,0,0,0,0,0,0,0
30.0,6,15,3,3,18,16,2,7,4,0,0,0,2,0,0
30.0,7,15,3,3,14,15,2,8,4,0,0,0,2,0,0
30.0,8,15,3,3,23,15,7,7,4,0,0,0,2,0,0
30.0,9,15,3,3,21,23,8,8,4,0,0,0,2,0,0
30.0,10,15,3,3,15,26,8,7,4,0,0,0,3,0,0
30.0,11,15,3,3,20,25,5,7,1,0,0,0,3,0,0
30.0,12,15,3,3,16,20,6,6,2,0,0,0,3,0,0
30.0,13,15,3,3,15,13,4,4,2,1,0,0,3,0,0
30.0,14,15,3,3,18,10,0,3,3,0,1,0,2,0,0
30.0,15,15,3,3,10,8,3,3,3,0,0,0,0,0,0
30.0,16,15,3,3,12,7,1,2,1,0,0,0,0,0,0
30.0,17,15,3,3,16,7,2,3,4,0,0,0,0,0,0
31.0,1,0,0,0,0,0,3,0,0,0,0,0,7,0,0
31.0,2,0,0,0,0,0,0,0,0,0,0,0,11,0,0
31.0,3,0,0,0,0,0,3,0,1,0,0,0,9,0,0
31.0,4,0,0,0,0,1,2,0,0,0,0,0,9,0,0
31.0,5,0,0,0,0,0,6,0,1,1,0,0,24,0,0
31.0,6,0,0,0,0,0,7,1,0,0,0,0,30,1,0
31.0,7,0,0,0,0,0,7,2,1,0,0,0,45,0,0
31.0,8,0,0,0,0,0,8,3,2,0,0,0,44,0,0
31.0,9,0,0,0,0,0,7,0,0,0,0,0,41,0,0
31.0,10,0,0,0,0,1,12,5,2,1,0,0,59,0,0
31.0,11,0,0,0,0,0,9,2,3,0,0,0,44,0,0
31.0,12,0,0,0,0,0,8,1,1,0,0,0,30,0,0
31.0,13,0,0,0,0,1,6,2,1,1,0,0,19,0,0
31.0,14,0,0,0,0,1,3,2,0,0,0,0,27,0,0
31.0,15,0,0,0,0,1,3,1,0,2,0,0,28,0,0
31.0,16,0,0,0,0,0,5,3,1,1,0,0,23,0,0
31.0,17,0,0,0,0,0,7,1,0,0,0,0,27,0,0
31.0,1,1,0,1,0,0,2,1,0,0,0,0,5,0,0
31.0,2,1,0,1,0,0,1,2,0,0,0,0,5,0,0
31.0,3,1,0,1,0,2,2,1,0,0,0,0,10,0,0
31.0,4,1,0,1,0,0,4,3,2,0,0,0,15,0,0
31.0,5,1,0,1,0,2,7,6,2,0,0,0,23,0,0
31.0,6,1,0,1,0,1,5,2,1,0,0,0,21,0,0
31.0,7,1,0,1,0,1,8,0,1,0,0,0,40,0,0
31.0,8,1,0,1,0,0,12,7,2,0,0,0,45,0,0
31.0,9,1,0,1,0,2,7,8,3,1,0,0,48,0,0
31.0,10,1,0,1,0,2,18,4,1,1,0,0,45,0,0
31.0,11,1,0,1,0,1,9,4,1,1,0,0,37,0,0
31.0,12,1,0,1,1,1,6,2,2,1,0,0,37,0,0
31.0,13,1,0,1,0,0,8,7,1,0,0,0,19,0,0
31.0,14,1,0,1,0,0,6,2,0,1,0,0,15,1,0
31.0,15,1,0,1,0,0,5,1,3,0,0,0,14,0,0
31.0,16,1,0,1,0,1,4,0,2,0,0,0,13,1,0
31.0,17,1,0,1,0,1,9,1,1,0,0,0,21,0,0
31.0,1,2,0,2,0,0,2,1,0,0,0,0,4,0,0
31.0,2,2,0,2,0,0,0,2,0,0,0,0,4,0,0
31.0,3,2,0,2,0,2,4,1,1,0,0,0,2,0,0
31.0,4,2,0,2,0,1,2,2,0,0,0,0,13,0,0
31.0,5,2,0,2,1,2,5,6,3,0,0,0,19,0,0
31.0,6,2,0,2,0,8,9,4,3,0,0,0,23,0,0
31.0,7,2,0,2,1,0,7,4,2,0,0,0,25,0,0
31.0,8,2,0,2,0,7,11,5,3,0,0,0,27,0,0
31.0,9,2,0,2,0,4,8,18,5,0,0,0,46,0,0
31.0,10,2,0,2,0,3,17,13,5,0,0,0,28,0,0
31.0,11,2,0,2,0,3,16,6,3,1,0,0,31,1,0
31.0,12,2,0,2,0,3,13,8,2,0,0,0,19,0,0
31.0,13,2,0,2,0,3,3,4,2,0,0,0,17,0,0
31.0,14,2,0,2,1,2,8,3,1,0,1,0,12,0,0
31.0,15,2,0,2,0,2,4,1,3,0,0,0,15,1,0
31.0,16,2,0,2,0,2,5,4,0,1,0,0,13,1,0
31.0,17,2,0,2,1,0,12,1,2,2,0,0,25,0,0
31.0,1,3,0,3,0,0,1,2,2,0,0,0,3,0,0
31.0,2,3,0,3,0,4,1,3,1,0,0,0,3,0,0
31.0,3,3,0,3,0,1,5,3,1,0,0,0,1,0,0
31.0,4,3,0,3,0,2,4,2,2,0,0,0,4,0,0
31.0,5,3,0,3,1,7,9,5,3,0,0,0,11,0,0
31.0,6,3,0,3,0,4,8,7,5,0,0,0,8,0,0
31.0,7,3,0,3,0,8,12,12,2,0,0,0,12,0,0
31.0,8,3,0,3,1,9,15,10,5,0,0,0,16,0,0
31.0,9,3,0,3,1,13,17,13,13,0,0,0,22,1,0
31.0,10,3,0,3,1,10,15,15,7,0,1,0,19,0,0
31.0,11,3,0,3,1,11,11,11,6,0,0,0,18,0,0
31.0,12,3,0,3,1,9,7,7,6,1,0,0,12,0,0
31.0,13,3,0,3,0,6,11,9,2,1,0,1,8,0,0
31.0,14,3,0,3,0,5,3,4,3,1,0,0,7,0,0
31.0,15,3,0,3,2,2,7,4,3,1,0,0,9,0,0
31.0,16,3,0,3,1,4,7,7,1,0,0,0,3,0,0
31.0,17,3,0,3,1,7,9,8,6,2,0,0,11,1,0
31.0,1,4,1,0,0,0,0,1,0,0,0,0,8,0,0
31.0,2,4,1,0,0,0,1,0,0,0,0,0,2,0,0
31.0,3,4,1,0,0,0,2,0,0,0,0,0,7,0,0
31.0,4,4,1,0,0,0,1,1,1,0,0,0,15,0,0
31.0,5,4,1,0,0,1,8,0,1,0,0,0,20,0,0
31.0,6,4,1,0,0,0,4,1,0,0,0,0,27,0,0
31.0,7,4,1,0,0,0,6,0,0,1,0,0,45,0,0
31.0,8,4,1,0,1,1,9,1,0,0,0,0,49,0,0
31.0,9,4,1,0,0,0,8,1,0,1,1,0,53,0,0
31.0,10,4,1,0,0,2,4,3,1,0,0,0,60,0,0
31.0,11,4,1,0,0,1,6,2,2,0,0,0,43,0,0
31.0,12,4,1,0,0,0,5,1,1,0,1,0,45,1,0
31.0,13,4,1,0,0,0,2,0,2,0,1,0,28,0,0
31.0,14,4,1,0,0,0,5,2,0,1,1,0,27,1,0
31.0,15,4,1,0,0,0,2,4,0,1,0,0,23,1,0
31.0,16,4,1,0,0,0,2,1,0,2,0,0,15,2,0
31.0,17,4,1,0,0,1,6,2,0,3,0,0,30,0,0
31.0,1,5,1,1,0,0,1,0,0,0,0,0,14,0,0
31.0,2,5,1,1,0,0,0,0,1,0,0,0,8,0,0
31.0,3,5,1,1,0,0,0,0,1,0,0,0,10,0,0
31.0,4,5,1,1,0,0,2,2,0,0,0,0,6,0,0
31.0,5,5,1,1,0,0,4,0,0,0,0,0,25,0,0
31.0,6,5,1,1,0,0,2,2,4,0,0,0,38,0,0
31.0,7,5,1,1,0,1,4,3,1,0,0,0,29,0,0
31.0,8,5,1,1,0,0,8,2,0,0,0,0,46,0,0
31.0,9,5,1,1,0,0,7,1,1,0,0,0,57,0,0
31.0,10,5,1,1,0,0,10,1,3,0,0,0,51,0,0
31.0,11,5,1,1,0,0,3,0,1,1,1,0,53,0,0
31.0,12,5,1,1,0,0,3,0,2,2,2,0,34,0,0
31.0,13,5,1,1,0,0,7,2,0,0,0,0,35,0,0
31.0,14,5,1,1,0,0,4,0,0,0,0,0,25,0,0
31.0,15,5,1,1,0,0,0,0,4,2,0,0,15,0,0
31.0,16,5,1,1,0,1,4,0,0,1,0,0,23,0,0
31.0,17,5,1,1,0,0,7,1,1,3,0,0,34,5,0
31.0,1,6,1,2,0,0,0,1,0,0,0,0,3,0,0
31.0,2,6,1,2,0,2,1,0,1,0,0,0,6,0,0
31.0,3,6,1,2,0,0,2,2,1,0,0,0,5,0,0
31.0,4,6,1,2,0,0,1,2,1,0,0,0,9,0,0
31.0,5,6,1,2,1,4,9,2,3,0,0,0,17,0,0
31.0,6,6,1,2,0,1,9,9,3,1,0,0,26,0,0
31.0,7,6,1,2,0,2,5,10,4,0,0,0,22,0,0
31.0,8,6,1,2,0,2,19,5,6,0,0,0,23,0,0
31.0,9,6,1,2,0,3,8,10,5,0,0,0,44,0,0
31.0,10,6,1,2,0,4,14,7,0,0,0,0,30,0,0
31.0,11,6,1,2,0,1,13,7,5,1,0,0,23,1,0
31.0,12,6,1,2,0,0,10,4,1,1,0,0,18,1,0
31.0,13,6,1,2,0,3,9,4,4,3,0,0,16,1,0
31.0,14,6,1,2,0,3,9,3,5,0,1,0,14,1,0
31.0,15,6,1,2,0,1,9,6,1,0,1,0,20,1,0
31.0,16,6,1,2,0,1,3,4,2,1,0,0,13,0,0
